,k,before_func_llc_avg,after_func_llc_avg,non_paired_llc_avg
0,1,27.452905802054385,0.7830031353959209,1.307020071154245
1,2,31.88209963405503,0.8199982516175971,1.6256342601962666
2,3,35.133801346322414,0.8761137573192769,1.7286389376678704
3,4,37.17257876814527,0.8844133907720295,1.8122497571688791
4,5,39.18172859892991,1.2130463320674778,1.926919352025002
5,6,40.752227303703336,1.3592206538817737,1.9849002860584817
6,7,42.13444315976979,1.4151666521396333,2.0473410354985293
7,8,43.31419591176036,1.4162370947808731,2.094024126552901
8,9,44.21390365180185,1.4793062681641413,2.14862806720317
9,10,45.08156507105399,1.4727161381258438,2.204649410107257
