index,split
0,train
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,test
14,train
15,train
16,train
17,train
18,train
19,train
20,test
21,train
22,train
23,valid
24,train
25,train
26,train
27,train
28,train
29,test
30,train
31,train
32,test
33,test
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,test
52,train
53,valid
54,train
55,test
56,train
57,valid
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,test
69,train
70,test
71,train
72,train
73,test
74,train
75,train
76,train
77,valid
78,valid
79,train
80,test
81,train
82,train
83,test
84,train
85,train
86,train
87,test
88,train
89,valid
90,train
91,train
92,train
93,train
94,test
95,test
96,train
97,train
98,train
99,train
100,valid
101,train
102,train
103,train
104,train
105,train
106,test
107,train
108,train
109,train
110,train
111,train
112,test
113,train
114,train
115,train
116,train
117,train
118,train
119,valid
120,train
121,train
122,train
123,train
124,train
125,valid
126,test
127,test
128,train
129,train
130,train
131,valid
132,train
133,train
134,train
135,train
136,train
137,valid
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,test
150,train
151,train
152,valid
153,train
154,train
155,train
156,test
157,valid
158,train
159,train
160,train
161,train
162,train
163,train
164,valid
165,valid
166,train
167,train
168,train
169,train
170,train
171,train
172,valid
173,valid
174,train
175,train
176,train
177,train
178,train
179,test
180,train
181,valid
182,train
183,train
184,test
185,test
186,valid
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,valid
195,train
196,train
197,train
198,train
199,valid
200,test
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,valid
209,train
210,train
211,train
212,test
213,train
214,test
215,train
216,train
217,train
218,train
219,train
220,train
221,valid
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,train
235,test
236,train
237,train
238,train
239,valid
240,train
241,train
242,train
243,train
244,valid
245,train
246,valid
247,train
248,valid
249,train
250,valid
251,test
252,train
253,train
254,train
255,train
256,train
257,train
258,test
259,train
260,valid
261,train
262,train
263,train
264,train
